scenario,pool_x,pool_y,fee,victim_v,slippage,attacker_in,attacker_profit,victim_honest_out,victim_actual_out,victim_extra_loss,attacker_roi,reverted,price_before,price_after_front,price_after_victim,price_after_back
victim_size,100000.0,100000.0,0.003,131.5204296259979,0.01,0.0,0.0,130.95415356613282,130.95415356613282,0.0,0.0,0,1.0,1.0,0.9973787017108505,0.9973787017108505
victim_size,100000.0,100000.0,0.003,149.60388779991493,0.01,0.0,0.0,148.9329351037688,148.9329351037688,0.0,0.0,0,1.0,1.0,0.9970190913262309,0.9970190913262309
victim_size,100000.0,100000.0,0.003,170.17373885178776,0.01,0.0,0.0,169.37584911971888,169.37584911971888,0.0,0.0,0,1.0,1.0,0.9966102725462298,0.9966102725462298
victim_size,100000.0,100000.0,0.003,193.57185044233174,0.01,0.0,0.0,192.61939653161815,192.61939653161815,0.0,0.0,0,1.0,1.0,0.9961455486630378,0.9961455486630378
victim_size,100000.0,100000.0,0.003,220.1870954736608,0.01,0.0,0.0,219.0456708178063,219.0456708178063,0.0,0.0,0,1.0,1.0,0.995617322427536,0.995617322427536
victim_size,100000.0,100000.0,0.003,250.46181509522077,0.01,0.0,0.0,249.08842986151964,249.08842986151964,0.0,0.0,0,1.0,1.0,0.9950169781174862,0.9950169781174862
victim_size,100000.0,100000.0,0.003,284.89917034350714,0.01,0.0,0.0,283.2399454226499,283.2399454226499,0.0,0.0,0,1.0,1.0,0.9943347490951642,0.9943347490951642
victim_size,100000.0,100000.0,0.003,324.0715045986565,0.01,505.3533231446445,0.21930122041663935,322.05872064480076,318.83813343835504,3.220587206445714,0.0004339562250268808,0,1.0,0.989983968425076,0.9836399500127204,0.9935938431120673
victim_size,100000.0,100000.0,0.003,368.6298558406125,0.01,505.4651753974813,0.664601350135456,366.1781737253887,362.5163919881351,3.661781737253591,0.0013148311347321508,0,1.0,0.989981768214163,0.9827702712657692,0.9927219641782474
victim_size,100000.0,100000.0,0.003,419.3147767970521,0.01,505.5923467830485,1.171602891981081,416.3163933396258,412.15322940622985,4.163163933395936,0.002317287631894911,0,1.0,0.98997926667426,0.9817824182626732,0.9917316096766161
victim_size,100000.0,100000.0,0.003,476.9686428122219,0.01,505.7369260257843,1.7489290053630953,473.28707822304,468.55420744081,4.732870782230009,0.0034581793722413072,0,1.0,0.9899764227225443,0.9806605511294466,0.9906068986568438
victim_size,100000.0,100000.0,0.003,542.5496519914966,0.01,505.9012838988761,2.4064294881056867,538.0117789442896,532.6316611548472,5.380117789442465,0.00475671749547626,0,1.0,0.9899731897293816,0.9793867704343234,0.9893298850660665
victim_size,100000.0,100000.0,0.003,617.1477503018599,0.01,506.0881105071945,3.155361479412022,611.5335636176378,605.4182279814619,6.115335636175928,0.006234806575973031,0,1.0,0.989969514785341,0.9779408679907217,0.987880307819498
victim_size,100000.0,100000.0,0.003,702.0027463009343,0.01,506.30045726193606,4.008598547925715,695.0322301546989,688.0819078531525,6.950322301546407,0.007917430234221286,0,1.0,0.9899653378760351,0.9763000530129631,0.9862353161317952
victim_size,100000.0,100000.0,0.003,798.5249165584924,0.01,506.54178406778897,4.980873107436366,789.841184386228,781.9427725423662,7.898411843861709,0.009833094256188333,0,1.0,0.9899605909545784,0.9744386528912293,0.9843691693655078
victim_size,100000.0,100000.0,0.003,908.3184442292808,0.01,506.81601227906333,6.089058087719991,897.4660943808258,888.4914334370183,8.974660943807521,0.012014336445959072,0,1.0,0.9899551969007581,0.9723277884540509,0.9822529112540648
victim_size,100000.0,100000.0,0.003,1033.2080803225217,0.01,507.1275840131185,7.352494998017278,1019.6054144882454,1009.4093603433638,10.1960541448816,0.014498314092548122,0,1.0,0.9899490683554005,0.9699350244429015,0.9798540192124489
victim_size,100000.0,100000.0,0.003,1175.269470774154,0.01,507.4815284322375,8.793377012970723,1158.1728454461208,1146.5911169916606,11.58172845446029,0.017327481928526737,0,1.0,0.9899421064179819,0.96722399710447,0.9771360306292661
victim_size,100000.0,100000.0,0.003,1336.8636533529552,0.01,507.8835356165854,10.43719755831637,1315.3217560865764,1302.1685385257115,13.15321756086496,0.020550375876322333,0,1.0,0.9899341991953224,0.9641540223957342,0.9740581496233156
victim_size,100000.0,100000.0,0.003,1520.676297733636,0.01,508.3400386435824,12.31327716902399,1493.4715338151925,1478.5368184770418,14.934715338150681,0.024222520818702072,0,1.0,0.9899252201893748,0.9606796903931231,0.9705748398441167
victim_size,100000.0,100000.0,0.003,1729.7623409007062,0.01,508.85830445652135,14.455384254356943,1695.3357503546279,1678.382392851083,16.953357503544794,0.028407484220574535,0,1.0,0.9899150265127816,0.9567504542112225,0.9666354116107234
victim_size,100000.0,100000.0,0.003,1967.5967597164376,0.01,509.44653403810094,16.90246898381963,1923.9519206353125,1904.712401428961,19.239519206351588,0.033178101831105034,0,1.0,0.9899034569222396,0.9523102251907377,0.9621836151388325
victim_size,100000.0,100000.0,0.003,2238.1323244849514,0.01,510.1139722896671,19.699533998832408,2182.7124897100734,2160.8853648129743,21.82712489709911,0.03861790711281688,0,1.0,0.9898903296620076,0.9472969904366941,0.9571572559298064
victim_size,100000.0,100000.0,0.003,2545.8652933674875,0.01,510.8710278417185,22.898671305267953,2475.396497953692,2450.6425329741573,24.75396497953443,0.044822802737528845,0,1.0,0.9898754401134044,0.941642474097259,0.9514878537082238
victim_size,100000.0,100000.0,0.003,2895.910139479648,0.01,511.7294027637738,26.560301829655714,2806.201140878435,2778.139129469653,28.062011408781927,0.05190302078834537,0,1.0,0.9898585582512651,0.9352718701695372,0.9451003726957291
victim_size,100000.0,100000.0,0.003,3294.0845526230705,0.01,512.7022317834299,30.75466313493814,3179.772148947609,3147.974427458135,31.797721489474043,0.05998542863361124,0,1.0,0.9898394259154604,0.928103682150909,0.9379130585483966
victim_size,100000.0,100000.0,0.003,3747.006128366841,0.01,513.8042301356375,35.563602213878426,3601.2315579116257,3565.2192423325127,36.012315579112965,0.06921625033038382,0,1.0,0.9898177539152864,0.9200497134866019,0.9298374259267436
victim_size,100000.0,100000.0,0.003,4262.202351435881,0.01,515.0518485149839,41.08274478247131,4076.2010166091422,4035.4390064430545,40.76201016608775,0.07976428955826984,0,1.0,0.9897932189973935,0.9110152623223949,0.9207784502387041
victim_size,100000.0,100000.0,0.003,4848.235701312706,0.01,516.4634327595163,47.42413094661367,4610.818285960943,4564.710103101338,46.10818285960522,0.09182476035761476,0,1.0,0.9897654607246535,0.9008995841771547,0.9106350272184756
victim_size,100000.0,100000.0,0.003,5514.845959287774,0.01,518.0593848178003,54.719430624543975,5211.744025571658,5159.626585315947,52.1174402557117,0.10562385747299725,0,1.0,0.9897340783346766,0.8895966961368437,0.8993007740125099
victim_size,100000.0,100000.0,0.003,6273.112082079249,0.01,519.862320200346,63.123882104422364,5886.155358253314,5827.293804670786,58.86155358252836,0.12142423032332005,0,1.0,0.989698627673392,0.8769966049896875,0.8866652542886879
victim_size,100000.0,100000.0,0.003,7135.636332335727,0.01,521.897215456811,72.82113543916569,6641.722077112405,6575.304856341286,66.41722077111899,0.1395315653781102,0,1.0,0.9896586183318902,0.8629870478387249,0.872615716034028
victim_size,100000.0,100000.0,0.003,8116.753726241875,0.01,524.1915372207352,84.0292313932772,7486.5607625042,7411.695154879166,74.8656076250345,0.16030253338083325,0,1.0,0.9896135111541584,0.847455835043869,0.8570394320614935
victim_size,100000.0,100000.0,0.003,9232.770279212928,0.01,526.7753420113036,97.00800939909061,8429.16157872318,8344.869962935954,84.29161578722596,0.18415442345630711,0,1.0,0.9895627163296741,0.8302938791571063,0.8398267271040557
victim_size,100000.0,100000.0,0.003,10502.234009283691,0.01,529.6813332877091,112.06831836121034,9478.282222342272,9383.499400118859,94.78282222341295,0.21157686955967875,0,1.0,0.9895055923377822,0.8113989765658135,0.8208747584779886
victim_size,100000.0,100000.0,0.003,11946.24320222532,0.01,532.9448592748047,129.58350719288023,10642.803525504894,10536.375490249853,106.42803525504132,0.2431461809561475,0,1.0,0.9894414460691696,0.7906803772469994,0.8000920860429231
victim_size,100000.0,100000.0,0.003,13588.797061707059,0.01,536.6038319301557,150.00380413168818,11931.54173658348,11812.226319217654,119.31541736582585,0.27954292385897955,0,1.0,0.98936953451132,0.7680641288351006,0.7774040180464739
victim_size,100000.0,100000.0,0.003,15457.194572253575,0.01,540.6985443084728,173.8743634561672,13353.013685785341,13219.4835489275,133.53013685784208,0.3215735741965869,0,1.0,0.989289068445426,0.7434991113861011,0.7527586496806168
victim_size,100000.0,100000.0,0.003,17582.488204036174,0.01,545.271360804577,201.85797584918703,14915.153074564645,14766.001543819015,149.15153074563023,0.3701972822327122,0,1.0,0.9891992186557895,0.7169635878799068,0.7261334198878195
victim_size,100000.0,100000.0,0.003,19999.99999999998,0.01,550.3662527663403,234.7637179744745,16624.979156244775,16458.729364682342,166.24979156243353,0.4265590718807103,0,1.0,0.9890991251903591,0.6884719848919955,0.6975419013794041
