scenario,pool_x,pool_y,fee,victim_v,slippage,attacker_in,attacker_profit,victim_actual_out,victim_min_out,victim_extra_loss,reverted,price_after_front,is_optimal
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,449.9489766275188,6.232271570745752,978.3906276445292,977.2864540530907,8.76740675253211,0,0.9910747124213399,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,460.1750897326897,6.372798198092482,978.1927276889902,977.2864540530907,8.965306708071125,0,0.9908732555758739,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,470.4012028378605,6.513275560602153,977.9948877717201,977.2864540530907,9.163146625341255,0,0.9906718601497427,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,480.6273159430314,6.653703679732246,977.7971078684358,977.2864540530907,9.360926528625555,0,0.9904705261179817,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,490.8534290482023,6.7940825769291,977.5993879548663,977.2864540530907,9.558646442195027,0,0.990269253455639,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,501.0795421533732,6.934412273627913,977.4017280067528,977.2864540530907,9.75630639030851,0,0.9900680421377757,1
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,511.3056552585441,-3.047742261534779,977.204127999849,977.2864540530907,9.953906397212336,1,0.989866892139465,1
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,521.531768363715,-3.1083827421048227,977.0065879099205,977.2864540530907,10.151446487140788,1,0.9896658034357934,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,531.7578814688859,-3.169010959468551,976.8091077127453,977.2864540530907,10.348926684315984,1,0.9894647760018592,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,541.9839945740567,-3.2296269173459677,976.6116873841139,977.2864540530907,10.546347012947422,1,0.9892638098127745,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,552.2101076792276,-3.2902306194550874,976.4143268998287,977.2864540530907,10.743707497232663,1,0.989062904843663,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,562.4362207843985,-3.3508220695123327,976.2170262357047,977.2864540530907,10.941008161356649,1,0.9888620610696618,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,572.6623338895694,-3.4114012712326485,976.0197853675681,977.2864540530907,11.138249029493181,1,0.9886612784659197,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,582.8884469947402,-3.47196822833007,975.822604271259,977.2864540530907,11.335430125802304,1,0.988460557007599,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,593.1145600999112,-3.5325229445160176,975.6254829226278,977.2864540530907,11.53255147443349,1,0.9882598966698741,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,603.340673205082,-3.5930654235016846,975.4284212975389,977.2864540530907,11.729613099522453,1,0.9880592974279326,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,613.5667863102528,-3.6535956689956492,975.2314193718676,977.2864540530907,11.926615025193769,1,0.9878587592569738,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,623.7928994154238,-3.714113684705808,975.0344771215019,977.2864540530907,12.123557275559392,1,0.9876582821322103,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,634.0190125205946,-3.7746194743375554,974.8375945223416,977.2864540530907,12.320439874719682,1,0.9874578660288666,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,644.2451256257656,-3.8351130415965144,974.6407715502995,977.2864540530907,12.51726284676181,1,0.9872575109221808,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,654.4712387309364,-3.8955943901850105,974.4440081812998,977.2864540530907,12.714026215761578,1,0.9870572167874025,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,664.6973518361073,-3.956063523804687,974.247304391279,977.2864540530907,12.910730005782284,1,0.9868569835997947,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,674.9234649412782,-4.01652044615571,974.0506601561856,977.2864540530907,13.107374240875743,1,0.9866568113346318,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,685.149578046449,-4.076965160936766,973.854075451981,977.2864540530907,13.303958945080353,1,0.9864566999672023,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,695.37569115162,-4.137397671844951,973.6575502546374,977.2864540530907,13.500484142423943,1,0.9862566494728058,0
